weights_definition,topology_method,distance_threshold,connected,island_count,area_count,edge_count,neighbor_min,neighbor_median,neighbor_max,checksum,transformation,analysis_status,authorization_status,results_authorized,observed_i,expected_i,permutation_p_value,permutations,seed,n,weights_checksum,escalation_required,analysis_role,permutation_rule,weights_transformation,model,analysis_status_moran,primary_estimand_executed,authorization_status_moran,results_authorized_moran,topology_analysis_status,spatial_error_status,spatial_error_estimate,spatial_error_standard_error,spatial_error_ci_low,spatial_error_ci_high,lambda_hat,converged,spatial_error_weights_checksum,model_sensitivity_status
rook,first_order_rook_contiguity,,True,0,76,177,1,5,9,86cf5f1a1f04f41add2a6aec9b688bc00f56a1363fc2263a968b4ad1789f00d6,row_standardized,freeze_candidate_primary_model_unsecured,results_not_authorized,False,0.221625267033,-0.0133333333333,0.0022,9999,20260715,76,86cf5f1a1f04f41add2a6aec9b688bc00f56a1363fc2263a968b4ad1789f00d6,True,supportive_sensitivity_not_primary,two_sided_abs_deviation_from_expected_add_one,row_standardized,C2,freeze_candidate_primary_model_unsecured,True,results_not_authorized,False,governed_alternative_spatial_weights,mandatory_spatial_sensitivity_run,-2.60155160492,1.1016288835,-5.0707455892,-0.132357620639,0.704098796145,True,86cf5f1a1f04f41add2a6aec9b688bc00f56a1363fc2263a968b4ad1789f00d6,not_model_sensitive
smallest_connected_distance_band,smallest_connected_centroid_distance_band,0.0422693076511,True,0,76,191,1,5,10,3da4f09dfbf60868be84963eab77197809d6e6e1b0f99b2aa40ea3f7b1d7fd77,row_standardized,freeze_candidate_primary_model_unsecured,results_not_authorized,False,0.255312993478,-0.0133333333333,0.0015,9999,20260715,76,3da4f09dfbf60868be84963eab77197809d6e6e1b0f99b2aa40ea3f7b1d7fd77,True,supportive_sensitivity_not_primary,two_sided_abs_deviation_from_expected_add_one,row_standardized,C2,freeze_candidate_primary_model_unsecured,True,results_not_authorized,False,governed_alternative_spatial_weights,mandatory_spatial_sensitivity_run,-2.7975944789,1.00953525837,-5.06036956062,-0.534819397168,0.615404996256,True,3da4f09dfbf60868be84963eab77197809d6e6e1b0f99b2aa40ea3f7b1d7fd77,not_model_sensitive
