condition_id,transition_state,tract_count,mean_annual_source_denominator,comparison_geography_type,sensitivity_status,results_authorized
copd,moves_into_highest_quartile,70,27791.6666667,chicago_community_area,all_eligible,False
copd,moves_out_of_highest_quartile,31,12480.3333333,chicago_community_area,all_eligible,False
copd,remains_below_highest_quartile,238,133058.666667,chicago_community_area,all_eligible,False
copd,remains_high,72,28842.3333333,chicago_community_area,all_eligible,False
hypertension,moves_into_highest_quartile,32,8383.33333333,chicago_community_area,all_eligible,False
hypertension,moves_out_of_highest_quartile,44,16178,chicago_community_area,all_eligible,False
hypertension,remains_below_highest_quartile,509,214732.333333,chicago_community_area,all_eligible,False
hypertension,remains_high,137,51005.3333333,chicago_community_area,all_eligible,False
copd,moves_into_highest_quartile,26,9695.66666667,chicago_community_area,noncrossing_only,False
copd,moves_out_of_highest_quartile,12,4822.66666667,chicago_community_area,noncrossing_only,False
copd,remains_below_highest_quartile,82,45509.3333333,chicago_community_area,noncrossing_only,False
copd,remains_high,24,12435.6666667,chicago_community_area,noncrossing_only,False
hypertension,moves_into_highest_quartile,7,2125.66666667,chicago_community_area,noncrossing_only,False
hypertension,moves_out_of_highest_quartile,12,4706.33333333,chicago_community_area,noncrossing_only,False
hypertension,remains_below_highest_quartile,176,75500,chicago_community_area,noncrossing_only,False
hypertension,remains_high,50,19472,chicago_community_area,noncrossing_only,False
copd,moves_into_highest_quartile,80,29809,zcta,all_eligible,False
copd,moves_out_of_highest_quartile,25,10304.3333333,zcta,all_eligible,False
copd,remains_below_highest_quartile,227,130649.333333,zcta,all_eligible,False
copd,remains_high,78,31018.3333333,zcta,all_eligible,False
hypertension,moves_into_highest_quartile,135,43629.3333333,zcta,all_eligible,False
hypertension,moves_out_of_highest_quartile,9,3241,zcta,all_eligible,False
hypertension,remains_below_highest_quartile,406,179486.333333,zcta,all_eligible,False
hypertension,remains_high,172,63942.3333333,zcta,all_eligible,False
copd,moves_into_highest_quartile,64,23070.6666667,zcta,noncrossing_only,False
copd,moves_out_of_highest_quartile,20,8284,zcta,noncrossing_only,False
copd,remains_below_highest_quartile,149,81942.6666667,zcta,noncrossing_only,False
copd,remains_high,51,19406,zcta,noncrossing_only,False
hypertension,moves_into_highest_quartile,96,29369.6666667,zcta,noncrossing_only,False
hypertension,moves_out_of_highest_quartile,7,2704.33333333,zcta,noncrossing_only,False
hypertension,remains_below_highest_quartile,270,116507.666667,zcta,noncrossing_only,False
hypertension,remains_high,116,40913.3333333,zcta,noncrossing_only,False
