analysis_id,analysis_name,estimand,unit,denominator,period,uncertainty,diagnostic_status,sensitivity_status,source_artifact,results_authorized,condition_id,scale,assignment_rule,estimate,ci_low,ci_high,bootstrap_requested_replicates,bootstrap_replicates,bootstrap_failed_replicates,bootstrap_seed,bootstrap_cluster_unit,bootstrap_estimator,bootstrap_interval_method,estimator,eligible_n,community_area_n,vpc_icc,within_variance_share,analysis_population,threshold,threshold_value,bootstrap_threshold_rule,auc,discordance_rule,status,uncertainty_source,uncertainty_role,joint_uncertainty_status,replicate_count,seed,mean_discordance_probability,max_discordance_probability
A5,Uncertainty-aware discordance,share of tract rank gaps exceeding comparator uncertainty,probability of discordance beyond supplied interval,411,pooled source rows supplied by caller,seeded Monte-Carlo interval propagation,eligible,primary,direct_chm_and_governed_public_interval_frame,False,copd,,,,,,,,,,,,,,411,,,,pairwise_chm_places_complete_2022_2024,,,,,absolute percentile-rank gap >0.25,available_places_only_interval_propagation,CDC PLACES confidence interval only,public_comparator_rank_uncertainty,not_run_incompatible_uncertainty_contract,1000.0,20260715.0,0.23855961070559611,1.0
A5,Uncertainty-aware discordance,share of tract rank gaps exceeding comparator uncertainty,probability of discordance beyond supplied interval,722,pooled source rows supplied by caller,seeded Monte-Carlo interval propagation,eligible,primary,direct_chm_and_governed_public_interval_frame,False,hypertension,,,,,,,,,,,,,,722,,,,pairwise_chm_places_complete_2022_2024,,,,,absolute percentile-rank gap >0.25,available_places_only_interval_propagation,CDC PLACES confidence interval only,public_comparator_rank_uncertainty,not_run_incompatible_uncertainty_contract,1000.0,20260715.0,0.09063296398891967,1.0
A5,Uncertainty-aware discordance,share of tract rank gaps exceeding comparator uncertainty,probability of discordance beyond supplied interval,144,pooled source rows supplied by caller,seeded Monte-Carlo interval propagation,eligible,noncrossing,direct_chm_and_governed_public_interval_frame,False,copd,,,,,,,,,,,,,,144,,,,pairwise_chm_places_complete_2022_2024,,,,,absolute percentile-rank gap >0.25,available_places_only_interval_propagation,CDC PLACES confidence interval only,public_comparator_rank_uncertainty,not_run_incompatible_uncertainty_contract,1000.0,20260715.0,0.2702222222222222,1.0
A5,Uncertainty-aware discordance,share of tract rank gaps exceeding comparator uncertainty,probability of discordance beyond supplied interval,245,pooled source rows supplied by caller,seeded Monte-Carlo interval propagation,eligible,noncrossing,direct_chm_and_governed_public_interval_frame,False,hypertension,,,,,,,,,,,,,,245,,,,pairwise_chm_places_complete_2022_2024,,,,,absolute percentile-rank gap >0.25,available_places_only_interval_propagation,CDC PLACES confidence interval only,public_comparator_rank_uncertainty,not_run_incompatible_uncertainty_contract,1000.0,20260715.0,0.08872653061224489,1.0
