model,estimand,variant,target_population,estimate,ci_low,ci_high,eligible_n,direction_stability,absolute_percentage_change,ci_overlap,threshold_crossed,analysis_status,authorization_status,primary_estimand_executed,results_authorized,percentage_change_reason,estimator,covariance_type,adjustment_set,capture_cut_points,excluded_geography_id,flagged_area_count,omitted_year,included_years,temporal_adjustment_covariates
C1,C1,continuous_capture_reference,not_run,,,,0,,,,not_run_insufficient_complete_areas,not_run_combined_diabetes_semantics_unapproved,results_not_authorized,False,False,,,,,,,,,,
C1|C2,not_applicable,exclude_crosswalk_derived_disease_estimates,governed_community_area_population,,,,,,,,not_applicable:chm_disease_values_are_direct_exports,not_applicable,results_not_authorized,False,False,not_applicable,,,,,,,,,
C1|C2,not_applicable,implausible_ratio_exclusion,governed_community_area_population,,,,,,,,not_applicable:no_current_community_area_flagged,not_applicable,results_not_authorized,False,False,not_applicable,,,,,,,,,
C1|C2,not_applicable,multiple_imputation,governed_community_area_population,,,,,,,,not_applicable:adjustment_covariates_complete,not_applicable,results_not_authorized,False,False,not_applicable,,,,,,,,,
C1|C2,not_applicable,precision_weighting,governed_community_area_population,,,,,,,,not_applicable:life_expectancy_uncertainty_unavailable,not_applicable,results_not_authorized,False,False,not_applicable,,,,,,,,,
C2,C2,continuous_capture_reference,distribution_of_eligible_community_areas,-2.60461893283,-4.83458716924,-0.374650696412,76,True,0,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,,,,,
C2,C2,exclude_all_prespecified_flagged_areas,eligible_community_areas_excluding_all_prespecified_flags,-3.10219345991,-5.86959611756,-0.334790802262,67,True,19.1035441236,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,,9,,,
C2,C2,frozen_capture_quartiles,distribution_of_eligible_community_areas,-2.91797779859,-5.10468874301,-0.731266854166,76,True,12.0308910379,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3_capture_quartiles,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,0.051875|0.07475|0.113425,,,,,
C2,C2,leave_one_area_out:01,eligible_community_areas_excluding_one,-2.62641327021,-4.8530026578,-0.399823882624,75,True,0.836757235761,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,01,,,,
C2,C2,leave_one_area_out:02,eligible_community_areas_excluding_one,-2.55286571334,-4.78914475903,-0.316586667644,75,True,1.98697854937,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,02,,,,
C2,C2,leave_one_area_out:03,eligible_community_areas_excluding_one,-2.63014220502,-4.87188709495,-0.388397315091,75,True,0.979923468765,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,03,,,,
C2,C2,leave_one_area_out:04,eligible_community_areas_excluding_one,-2.67767925334,-4.9427938614,-0.412564645287,75,True,2.80502915788,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,04,,,,
C2,C2,leave_one_area_out:05,eligible_community_areas_excluding_one,-2.58266112529,-4.8544950512,-0.310827199378,75,True,0.84303339973,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,05,,,,
C2,C2,leave_one_area_out:06,eligible_community_areas_excluding_one,-2.56966880446,-4.83896149562,-0.300376113303,75,True,1.34185188949,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,06,,,,
