model,estimand,variant,target_population,estimate,ci_low,ci_high,eligible_n,direction_stability,absolute_percentage_change,ci_overlap,threshold_crossed,analysis_status,authorization_status,primary_estimand_executed,results_authorized,percentage_change_reason,estimator,covariance_type,adjustment_set,capture_cut_points,excluded_geography_id,flagged_area_count,omitted_year,included_years,temporal_adjustment_covariates
C2,C2,leave_one_area_out:07,eligible_community_areas_excluding_one,-2.57115010998,-4.80654766681,-0.335752553155,75,True,1.28497963457,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,07,,,,
C2,C2,leave_one_area_out:08,eligible_community_areas_excluding_one,-2.49711433017,-4.74148173744,-0.252746922905,75,True,4.12745992506,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,08,,,,
C2,C2,leave_one_area_out:09,eligible_community_areas_excluding_one,-2.59271156662,-4.82187251112,-0.363550622108,75,True,0.457163466859,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,09,,,,
C2,C2,leave_one_area_out:10,eligible_community_areas_excluding_one,-2.58534712512,-4.84218254725,-0.328511702994,75,True,0.739908915825,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,10,,,,
C2,C2,leave_one_area_out:11,eligible_community_areas_excluding_one,-2.59951473111,-4.89686751322,-0.302161949005,75,True,0.195967312174,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,11,,,,
C2,C2,leave_one_area_out:12,eligible_community_areas_excluding_one,-2.58677105518,-4.8425582028,-0.330983907558,75,True,0.685239496068,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,12,,,,
C2,C2,leave_one_area_out:13,eligible_community_areas_excluding_one,-2.44778840336,-4.67012175473,-0.225455051991,75,True,6.02124662046,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,13,,,,
C2,C2,leave_one_area_out:14,eligible_community_areas_excluding_one,-2.67552717413,-4.94587389558,-0.405180452676,75,True,2.72240366548,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,14,,,,
C2,C2,leave_one_area_out:15,eligible_community_areas_excluding_one,-2.59842960755,-4.82850825073,-0.368350964372,75,True,0.237628821522,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,15,,,,
C2,C2,leave_one_area_out:16,eligible_community_areas_excluding_one,-2.61066178603,-4.85200040844,-0.369323163631,75,True,0.232005270743,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,16,,,,
C2,C2,leave_one_area_out:17,eligible_community_areas_excluding_one,-2.75955871702,-5.1283777089,-0.390739725132,75,True,5.94865460882,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,17,,,,
C2,C2,leave_one_area_out:18,eligible_community_areas_excluding_one,-2.76524989066,-5.08373280924,-0.446766972082,75,True,6.16715772924,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,18,,,,
C2,C2,leave_one_area_out:19,eligible_community_areas_excluding_one,-2.60404467676,-4.83337638395,-0.374712969571,75,True,0.0220476038718,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,19,,,,
C2,C2,leave_one_area_out:20,eligible_community_areas_excluding_one,-2.65744046468,-4.91007915242,-0.404801776935,75,True,2.02799462085,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,20,,,,
C2,C2,leave_one_area_out:21,eligible_community_areas_excluding_one,-2.63623266527,-4.90617333693,-0.366291993614,75,True,1.2137565326,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,21,,,,
C2,C2,leave_one_area_out:22,eligible_community_areas_excluding_one,-2.68357563252,-4.9614967542,-0.405654510854,75,True,3.03141080266,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,22,,,,
C2,C2,leave_one_area_out:23,eligible_community_areas_excluding_one,-2.5759845513,-4.84853212564,-0.303436976962,75,True,1.09936932298,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,23,,,,
C2,C2,leave_one_area_out:24,eligible_community_areas_excluding_one,-2.61517821836,-4.86102865077,-0.369327785955,75,True,0.405406157646,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,24,,,,
C2,C2,leave_one_area_out:25,eligible_community_areas_excluding_one,-2.45461660327,-4.71496954437,-0.194263662166,75,True,5.75908927277,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,25,,,,
C2,C2,leave_one_area_out:26,eligible_community_areas_excluding_one,-2.41667574409,-4.64064979439,-0.1927016938,75,True,7.21576528392,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,26,,,,
C2,C2,leave_one_area_out:27,eligible_community_areas_excluding_one,-2.61296064474,-4.85583148595,-0.370089803535,75,True,0.320266116941,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,27,,,,
C2,C2,leave_one_area_out:28,eligible_community_areas_excluding_one,-2.62989259241,-4.86102107843,-0.398764106381,75,True,0.970340008676,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,28,,,,
C2,C2,leave_one_area_out:29,eligible_community_areas_excluding_one,-2.34746231444,-4.61051588683,-0.0844087420547,75,True,9.87309948274,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,29,,,,
C2,C2,leave_one_area_out:30,eligible_community_areas_excluding_one,-2.5858479366,-4.83980986104,-0.331886012156,75,True,0.720681094411,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,30,,,,
C2,C2,leave_one_area_out:31,eligible_community_areas_excluding_one,-2.56640612045,-4.78967802804,-0.343134212859,75,True,1.46711720076,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,31,,,,
C2,C2,leave_one_area_out:32,eligible_community_areas_excluding_one,-2.53655637188,-4.72823470613,-0.344878037628,75,True,2.61314851436,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,32,,,,
C2,C2,leave_one_area_out:33,eligible_community_areas_excluding_one,-2.61045345901,-4.87684831052,-0.344058607495,75,True,0.224006901954,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,33,,,,
C2,C2,leave_one_area_out:34,eligible_community_areas_excluding_one,-3.12875686655,-5.22438283952,-1.03313089358,75,True,20.1234018196,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,34,,,,
C2,C2,leave_one_area_out:35,eligible_community_areas_excluding_one,-2.65082534824,-4.94374987443,-0.357900822046,75,True,1.77401825761,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,35,,,,
C2,C2,leave_one_area_out:36,eligible_community_areas_excluding_one,-2.54994731039,-4.79811858052,-0.301776040254,75,True,2.0990257635,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,36,,,,
C2,C2,leave_one_area_out:37,eligible_community_areas_excluding_one,-2.73217307818,-5.03137429804,-0.43297185831,75,True,4.89722867868,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,37,,,,
C2,C2,leave_one_area_out:38,eligible_community_areas_excluding_one,-2.6023407781,-4.83305048356,-0.371631072645,75,True,0.0874659511903,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,38,,,,
C2,C2,leave_one_area_out:39,eligible_community_areas_excluding_one,-2.36482878789,-4.60510790404,-0.124549671745,75,True,9.20634269798,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,39,,,,
C2,C2,leave_one_area_out:40,eligible_community_areas_excluding_one,-2.60710740549,-4.85070383137,-0.363510979616,75,True,0.0955407578173,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,40,,,,
C2,C2,leave_one_area_out:41,eligible_community_areas_excluding_one,-2.61747778381,-4.86756726341,-0.367388304204,75,True,0.493694137744,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,41,,,,
C2,C2,leave_one_area_out:42,eligible_community_areas_excluding_one,-2.60266379551,-4.82743449767,-0.377893093342,75,True,0.0750642366375,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,42,,,,
C2,C2,leave_one_area_out:43,eligible_community_areas_excluding_one,-2.56987545953,-4.79824656647,-0.341504352585,75,True,1.33391771293,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,43,,,,
C2,C2,leave_one_area_out:44,eligible_community_areas_excluding_one,-2.56988505034,-4.80382177602,-0.335948324662,75,True,1.33354948958,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,44,,,,
C2,C2,leave_one_area_out:45,eligible_community_areas_excluding_one,-2.57021912759,-4.78225592039,-0.358182334784,75,True,1.32072315093,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,45,,,,
C2,C2,leave_one_area_out:46,eligible_community_areas_excluding_one,-2.68160623837,-4.87040442859,-0.492808048143,75,True,2.95579919855,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,46,,,,
C2,C2,leave_one_area_out:47,eligible_community_areas_excluding_one,-2.55570429702,-4.80403280824,-0.307375785795,75,True,1.87799586317,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,47,,,,
C2,C2,leave_one_area_out:48,eligible_community_areas_excluding_one,-2.40828645372,-4.83496993066,0.0183970232122,75,True,7.53785809629,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,48,,,,
C2,C2,leave_one_area_out:49,eligible_community_areas_excluding_one,-2.52030792556,-4.7300367905,-0.310579060616,75,True,3.23698051206,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,49,,,,
C2,C2,leave_one_area_out:50,eligible_community_areas_excluding_one,-2.5950041361,-4.81721137989,-0.372796892311,75,True,0.369144084978,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,50,,,,
C2,C2,leave_one_area_out:51,eligible_community_areas_excluding_one,-2.70637471458,-4.88633371605,-0.526415713106,75,True,3.90674353422,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,51,,,,
C2,C2,leave_one_area_out:52,eligible_community_areas_excluding_one,-2.63783637666,-4.85981292696,-0.415859826373,75,True,1.27532835683,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,52,,,,
C2,C2,leave_one_area_out:53,eligible_community_areas_excluding_one,-2.41105329115,-4.6351585022,-0.186948080096,75,True,7.43162998782,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,53,,,,
C2,C2,leave_one_area_out:54,eligible_community_areas_excluding_one,-2.84726120431,-4.99354867025,-0.70097373837,75,True,9.31584534019,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,54,,,,
C2,C2,leave_one_area_out:55,eligible_community_areas_excluding_one,-2.84612873989,-5.17602205809,-0.51623542169,75,True,9.27236625755,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,55,,,,
C2,C2,leave_one_area_out:56,eligible_community_areas_excluding_one,-2.54964215233,-4.7797350731,-0.319549231552,75,True,2.11074179819,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,56,,,,
C2,C2,leave_one_area_out:57,eligible_community_areas_excluding_one,-2.80879840875,-5.08085746307,-0.536739354442,75,True,7.8391304522,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,57,,,,
C2,C2,leave_one_area_out:58,eligible_community_areas_excluding_one,-2.60430614202,-4.83107725783,-0.377535026205,75,True,0.0120090815044,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,58,,,,
C2,C2,leave_one_area_out:59,eligible_community_areas_excluding_one,-2.6107235723,-4.8443428995,-0.377104245104,75,True,0.234377451545,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,59,,,,
C2,C2,leave_one_area_out:60,eligible_community_areas_excluding_one,-2.81349642575,-5.03229187609,-0.594700975411,75,True,8.01950297949,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,60,,,,
C2,C2,leave_one_area_out:61,eligible_community_areas_excluding_one,-2.56851373336,-4.82700099087,-0.310026475845,75,True,1.38619891811,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,61,,,,
C2,C2,leave_one_area_out:62,eligible_community_areas_excluding_one,-2.71735324393,-4.99812840105,-0.436578086809,75,True,4.32824585893,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,62,,,,
C2,C2,leave_one_area_out:63,eligible_community_areas_excluding_one,-2.52339377834,-4.76935436695,-0.277433189725,75,True,3.11850434119,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,63,,,,
C2,C2,leave_one_area_out:64,eligible_community_areas_excluding_one,-2.51389617337,-4.78132680567,-0.246465541082,75,True,3.48314904375,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,64,,,,
C2,C2,leave_one_area_out:65,eligible_community_areas_excluding_one,-2.59272320479,-4.82554829901,-0.359898110572,75,True,0.456716638528,True,not_crossed:sign_change_or_absolute_percentage_change_gt_30,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False,available,unweighted_ols_hc3,HC3,pct_age_65_plus|pct_female|pct_below_fpl|capture_rate_mean_2022_2024,,65,,,,
