geography_id,condition_id,source_condition_label,numerator_sum,denominator_sum,public_comparator_estimate,public_comparator_measure_id,capture_rate_mean_2022_2024,suppressed_rows,annual_rows,eligible_annual_rows,ineligible_annual_rows,ehr_percent_mean_2022_2024,pooling_method,signed_difference,absolute_difference,discordance_category,discordance_bins,ehr_low_cutpoint,ehr_mid_cutpoint,ehr_high_cutpoint,public_low_cutpoint,public_mid_cutpoint,public_high_cutpoint
17031010100,copd,COPD,57,1412,6.4,copd_crudeprev,0.0796,0,3,3,0,4.03682719547,sum_annual_numerators_divided_by_sum_annual_denominators,-2.36317280453,2.36317280453,intermediate,tertile,4.28240740741,5.50351562789,6.59574468085,5.1,6.4,7.9
17031010100,hypertension,hypertension,564,1412,32.6,bphigh_crudeprev,0.0796,0,3,3,0,39.9433427762,sum_annual_numerators_divided_by_sum_annual_denominators,7.3433427762,7.3433427762,intermediate,tertile,41.6381847783,46.0855528652,51.2837372821,26.1,28.9,35.6666666667
17031010201,copd,COPD,50,1461,7.3,copd_crudeprev,0.0407,0,3,3,0,3.42231348392,sum_annual_numerators_divided_by_sum_annual_denominators,-3.87768651608,3.87768651608,intermediate,tertile,4.28240740741,5.50351562789,6.59574468085,5.1,6.4,7.9
17031010201,hypertension,hypertension,567,1461,33.1,bphigh_crudeprev,0.0407,0,3,3,0,38.8090349076,sum_annual_numerators_divided_by_sum_annual_denominators,5.7090349076,5.7090349076,intermediate,tertile,41.6381847783,46.0855528652,51.2837372821,26.1,28.9,35.6666666667
17031010202,hypertension,hypertension,286,692,32.6,bphigh_crudeprev,0.0543,0,3,3,0,41.3294797688,sum_annual_numerators_divided_by_sum_annual_denominators,8.72947976879,8.72947976879,intermediate,tertile,41.6381847783,46.0855528652,51.2837372821,26.1,28.9,35.6666666667
17031010300,copd,COPD,84,1805,5.8,copd_crudeprev,0.0537,0,3,3,0,4.65373961219,sum_annual_numerators_divided_by_sum_annual_denominators,-1.14626038781,1.14626038781,intermediate,tertile,4.28240740741,5.50351562789,6.59574468085,5.1,6.4,7.9
17031010300,hypertension,hypertension,764,1805,32.2,bphigh_crudeprev,0.0537,0,3,3,0,42.3268698061,sum_annual_numerators_divided_by_sum_annual_denominators,10.1268698061,10.1268698061,intermediate,tertile,41.6381847783,46.0855528652,51.2837372821,26.1,28.9,35.6666666667
17031010501,copd,COPD,58,1302,3.9,copd_crudeprev,0.0691,0,3,3,0,4.45468509985,sum_annual_numerators_divided_by_sum_annual_denominators,0.554685099846,0.554685099846,intermediate,tertile,4.28240740741,5.50351562789,6.59574468085,5.1,6.4,7.9
17031010501,hypertension,hypertension,474,1302,25.3,bphigh_crudeprev,0.0691,0,3,3,0,36.4055299539,sum_annual_numerators_divided_by_sum_annual_denominators,11.1055299539,11.1055299539,concordant_low,tertile,41.6381847783,46.0855528652,51.2837372821,26.1,28.9,35.6666666667
17031010502,hypertension,hypertension,276,847,21.2,bphigh_crudeprev,0.0494,0,3,3,0,32.585596222,sum_annual_numerators_divided_by_sum_annual_denominators,11.385596222,11.385596222,concordant_low,tertile,41.6381847783,46.0855528652,51.2837372821,26.1,28.9,35.6666666667
17031010503,hypertension,hypertension,194,544,33.2,bphigh_crudeprev,0.0377,0,3,3,0,35.6617647059,sum_annual_numerators_divided_by_sum_annual_denominators,2.46176470588,2.46176470588,intermediate,tertile,41.6381847783,46.0855528652,51.2837372821,26.1,28.9,35.6666666667
17031010600,copd,COPD,55,1832,4.1,copd_crudeprev,0.0516,0,3,3,0,3.00218340611,sum_annual_numerators_divided_by_sum_annual_denominators,-1.09781659389,1.09781659389,concordant_low,tertile,4.28240740741,5.50351562789,6.59574468085,5.1,6.4,7.9
17031010600,hypertension,hypertension,622,1832,24.4,bphigh_crudeprev,0.0516,0,3,3,0,33.9519650655,sum_annual_numerators_divided_by_sum_annual_denominators,9.5519650655,9.5519650655,concordant_low,tertile,41.6381847783,46.0855528652,51.2837372821,26.1,28.9,35.6666666667
