condition_id,time_period,boundary_eligible_rows,boundary_eligible_tracts,denominator_ge_30_rows,denominator_ge_30_tracts,observable_after_suppression_rows,observable_after_suppression_tracts,primary_eligible_rows,primary_eligible_tracts,excluded_denominator_lt_30_or_missing_rows,excluded_suppressed_or_missing_numerator_rows
copd,2019,771,771,771,771,425,425,425,425,0,346
copd,2020,771,771,770,770,443,443,443,443,1,327
copd,2021,776,776,776,776,509,509,509,509,0,267
copd,2022,772,772,772,772,515,515,515,515,0,257
copd,2023,775,775,775,775,533,533,533,533,0,242
copd,2024,775,775,775,775,519,519,519,519,0,256
diabetes_with_complication,2019,778,778,777,777,703,703,703,703,1,74
diabetes_with_complication,2020,778,778,777,777,719,719,719,719,1,58
diabetes_with_complication,2021,779,779,778,778,740,740,740,740,1,38
diabetes_with_complication,2022,779,779,777,777,750,750,750,750,2,27
diabetes_with_complication,2023,780,780,778,778,749,749,749,749,2,29
diabetes_with_complication,2024,780,780,778,778,758,758,758,758,2,20
diabetes_without_complication,2019,780,780,777,777,770,770,770,770,3,7
diabetes_without_complication,2020,780,780,778,778,772,772,772,772,2,6
diabetes_without_complication,2021,781,781,778,778,774,774,774,774,3,4
diabetes_without_complication,2022,782,782,777,777,775,775,775,775,5,2
diabetes_without_complication,2023,781,781,778,778,774,774,774,774,3,4
diabetes_without_complication,2024,782,782,778,778,775,775,775,775,4,3
hypertension,2019,781,781,777,777,777,777,777,777,4,0
hypertension,2020,781,781,778,778,778,778,778,778,3,0
hypertension,2021,782,782,778,778,778,778,778,778,4,0
hypertension,2022,780,780,777,777,777,777,777,777,3,0
hypertension,2023,782,782,778,778,778,778,778,778,4,0
hypertension,2024,782,782,778,778,778,778,778,778,4,0
