geography_type,condition_id,rows,geographies,years,denominator_median,denominator_iqr,disease_measure_median_percentage_points,disease_measure_iqr_percentage_points,disease_measure_eligible_rows,capture_median,capture_iqr,capture_missing_rows,capture_missing_percentage,missing_rows,missing_percentage,suppressed_rows,suppression_percentage,disease_value_missing_rows,disease_value_missing_percentage,reliability_available_rows,reliability_available_percentage,reliability_qualification_status,reliability_qualified_rows,reliability_qualified_percentage,percentage_denominator_rows,missing_percentage_denominator_rows,suppression_percentage_denominator_rows,disease_value_missing_percentage_denominator_rows,reliability_available_percentage_denominator_rows,reliability_qualified_percentage_denominator_rows,source_ids,snapshot_ids,source_position_contracts,disease_value_derivations,direct_first_party_rows,direct_first_party_percentage,disease_measure_unit,denominator_unit,map_population_areas,map_c2_complete_areas,map_c2_incomplete_areas,map_unavailable_areas,qualification_withheld_areas
census_tract,copd,4640,779,6,325,224.5,5.04519097269,3.22591492351,2944,0.0753,0.0574,3,0.0646551724138,0,0,1696,36.5517241379,0,0,4640,100,withheld_pending_reliability_rule,,,4640,4640,4640,4640,4640,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,"S4 accepted positions: geography=2, year=3, condition=4, numerator=5, guarded denominator=25, published measure=45",direct_first_party_export_not_interpolated,4640,100,percentage_points,source_condition_record_field_pending_semantic_verification,,,,,
census_tract,diabetes_with_complication,4674,781,6,324,226,11.2970711297,6.09639215309,4419,0.0749,0.0573,12,0.256739409499,0,0,255,5.45571245186,0,0,4674,100,withheld_pending_reliability_rule,,,4674,4674,4674,4674,4674,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,"S4 accepted positions: geography=2, year=3, condition=4, numerator=5, guarded denominator=25, published measure=45",direct_first_party_export_not_interpolated,4674,100,percentage_points,source_condition_record_field_pending_semantic_verification,,,,,
census_tract,diabetes_without_complication,4686,782,6,323,227,19.4642430041,9.02840981574,4640,0.0749,0.0573,24,0.512163892446,0,0,46,0.981647460521,0,0,4686,100,withheld_pending_reliability_rule,,,4686,4686,4686,4686,4686,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,"S4 accepted positions: geography=2, year=3, condition=4, numerator=5, guarded denominator=25, published measure=45",direct_first_party_export_not_interpolated,4686,100,percentage_points,source_condition_record_field_pending_semantic_verification,,,,,
census_tract,hypertension,4688,782,6,323,227,45.2564635135,14.7326615046,4666,0.0749,0.0573,26,0.554607508532,0,0,18,0.383959044369,0,0,4688,100,withheld_pending_reliability_rule,,,4688,4688,4688,4688,4688,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,"S4 accepted positions: geography=2, year=3, condition=4, numerator=5, guarded denominator=25, published measure=45",direct_first_party_export_not_interpolated,4688,100,percentage_points,source_condition_record_field_pending_semantic_verification,,,,,
chicago_community_area,copd,462,77,6,3163,3101.75,3.6806221722,3.56042364885,457,0.0735,0.0609,0,0,0,0,5,1.08225108225,0,0,462,100,withheld_pending_reliability_rule,,,462,462,462,462,462,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,"S4 accepted positions: geography=2, year=3, condition=4, numerator=5, guarded denominator=25, published measure=45",direct_first_party_export_not_interpolated,462,100,percentage_points,source_condition_record_field_pending_semantic_verification,77,76,1,0,77
chicago_community_area,diabetes_with_complication,462,77,6,3193,3101.75,11.4337618849,5.41760352171,462,0.0735,0.0609,0,0,0,0,0,0,0,0,462,100,withheld_pending_reliability_rule,,,462,462,462,462,462,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,"S4 accepted positions: geography=2, year=3, condition=4, numerator=5, guarded denominator=25, published measure=45",direct_first_party_export_not_interpolated,462,100,percentage_points,source_condition_record_field_pending_semantic_verification,77,76,1,0,77
chicago_community_area,diabetes_without_complication,462,77,6,3193,3101.75,20.5896222343,7.4030658266,462,0.0735,0.0609,0,0,0,0,0,0,0,0,462,100,withheld_pending_reliability_rule,,,462,462,462,462,462,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,"S4 accepted positions: geography=2, year=3, condition=4, numerator=5, guarded denominator=25, published measure=45",direct_first_party_export_not_interpolated,462,100,percentage_points,source_condition_record_field_pending_semantic_verification,77,76,1,0,77
chicago_community_area,hypertension,462,77,6,3193,3101.75,46.8535804839,11.7896197277,462,0.0735,0.0609,0,0,0,0,0,0,0,0,462,100,withheld_pending_reliability_rule,,,462,462,462,462,462,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,"S4 accepted positions: geography=2, year=3, condition=4, numerator=5, guarded denominator=25, published measure=45",direct_first_party_export_not_interpolated,462,100,percentage_points,source_condition_record_field_pending_semantic_verification,77,76,1,0,77
