condition_id,condition_priority,rows,spearman_r,spearman_p,pearson_r,pearson_p,median_signed_difference,median_absolute_difference,spearman_priority,pearson_priority,weighted_kappa_priority,comparator_family,comparator_interpretation,ehr_q25,ehr_q50,ehr_q75,public_q25,public_q50,public_q75,weighted_kappa_quadratic,categorization_status,concordant_high_count,concordant_low_count,ehr_high_public_not_high_count,public_high_ehr_not_high_count,intermediate_count,spearman_p_bh,pearson_p_bh,comparator_family_id,multiplicity_denominator
hypertension,1,777,0.878877737784,2.50047576594e-251,0.883424887788,2.30703606965e-257,14.7153187441,14.7153187441,primary,supportive,supportive,tract_ehr_public_comparators,neither_measure_is_a_gold_standard,39.1055045872,46.0855528652,54.2885973764,23.5,28.9,41.3,0.838850344521,available,157,151,0,0,469,5.00095153188e-251,9.22814427861e-257,tract_ehr_public_correlation_tests,4
copd,3,448,0.734148439635,5.26262887951e-77,0.703453726373,3.90927862344e-68,-1.09692341982,1.59104027692,primary,supportive,supportive,tract_ehr_public_comparators,neither_measure_is_a_gold_standard,3.78739973508,5.50351562789,7.40687270635,4.8,6.4,8.825,0.686395759717,available,68,68,10,5,297,7.01683850602e-77,3.90927862344e-68,tract_ehr_public_correlation_tests,4
