estimand_id,estimate,standard_error,ci_low,ci_high,confidence_level,row_type,analysis_id,time_period,period_role,included_years,outcome_years,n_paired,status,analysis_status,adjustment_set,primary_estimand_executed,formal_test_family,diabetes_denominator_mismatch_geographies,total_geography_universe,n_exposure_complete,n_outcome_complete,n_suppression_excluded,n_missing_exposure_excluded,n_denominator_mismatch_excluded,n_pair_excluded,iqr_source_population_id,candidate_id,disruption_status,continuity_review_status,exposure_source_id,exposure_snapshot_id,outcome_source_id,outcome_snapshot_id,outcome_lineage_id,outcome_provenance_contract,model_id,n,hypertension_iqr,diabetes_iqr,copd_iqr,covariance_type,estimator,interpretation
C1,,,,,0.975,association_model,annual_2019,2019,baseline,2019,2019,0,withheld_no_eligible_pairs,withheld_no_eligible_pairs,unadjusted,False,not_applicable_no_formal_p_values,1,77,0,77,0,0,1,77,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,,,,,,,,
C1-D,,,,,0.95,association_model,annual_2019,2019,baseline,2019,2019,0,withheld_no_eligible_pairs,withheld_no_eligible_pairs,unadjusted,False,not_applicable_no_formal_p_values,1,77,0,77,0,0,1,77,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,,,,,,,,
C1-H,,,,,0.95,association_model,annual_2019,2019,baseline,2019,2019,0,withheld_no_eligible_pairs,withheld_no_eligible_pairs,unadjusted,False,not_applicable_no_formal_p_values,1,77,0,77,0,0,1,77,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,,,,,,,,
C2,-8.35622119216,0.485934432496,-9.4453959546,-7.26704642973,0.975,association_model,annual_2019,2019,baseline,2019,2019,75,supported_sensitivity_not_primary,supported_temporal_sensitivity_not_primary,unadjusted,False,not_applicable_no_formal_p_values,1,77,75,77,2,0,0,2,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,C2_unadjusted,75,,,3.68061861872,HC3,unweighted_ols,noncausal_ecological_association
C1,,,,,0.975,association_model,annual_2020,2020,disruption,2020,2020,0,withheld_no_eligible_pairs,withheld_no_eligible_pairs,unadjusted,False,not_applicable_no_formal_p_values,1,77,0,77,0,0,1,77,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,,,,,,,,
C1-D,,,,,0.95,association_model,annual_2020,2020,disruption,2020,2020,0,withheld_no_eligible_pairs,withheld_no_eligible_pairs,unadjusted,False,not_applicable_no_formal_p_values,1,77,0,77,0,0,1,77,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,,,,,,,,
C1-H,,,,,0.95,association_model,annual_2020,2020,disruption,2020,2020,0,withheld_no_eligible_pairs,withheld_no_eligible_pairs,unadjusted,False,not_applicable_no_formal_p_values,1,77,0,77,0,0,1,77,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,,,,,,,,
C2,-6.35236796368,0.605297581242,-7.70908361328,-4.99565231407,0.975,association_model,annual_2020,2020,disruption,2020,2020,76,supported_sensitivity_not_primary,supported_temporal_sensitivity_not_primary,unadjusted,False,not_applicable_no_formal_p_values,1,77,76,77,1,0,0,1,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,C2_unadjusted,76,,,3.68061861872,HC3,unweighted_ols,noncausal_ecological_association
C1,,,,,0.975,association_model,annual_2021,2021,disruption,2021,2021,0,withheld_no_eligible_pairs,withheld_no_eligible_pairs,unadjusted,False,not_applicable_no_formal_p_values,0,77,0,77,0,0,0,77,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,,,,,,,,
C1-D,,,,,0.95,association_model,annual_2021,2021,disruption,2021,2021,0,withheld_no_eligible_pairs,withheld_no_eligible_pairs,unadjusted,False,not_applicable_no_formal_p_values,0,77,0,77,0,0,0,77,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,,,,,,,,
C1-H,,,,,0.95,association_model,annual_2021,2021,disruption,2021,2021,0,withheld_no_eligible_pairs,withheld_no_eligible_pairs,unadjusted,False,not_applicable_no_formal_p_values,0,77,0,77,0,0,0,77,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,,,,,,,,
C2,-6.88140289781,0.660961144354,-8.36288300961,-5.39992278601,0.975,association_model,annual_2021,2021,disruption,2021,2021,77,supported_sensitivity_not_primary,supported_temporal_sensitivity_not_primary,unadjusted,False,not_applicable_no_formal_p_values,0,77,77,77,0,0,0,0,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,C2_unadjusted,77,,,3.68061861872,HC3,unweighted_ols,noncausal_ecological_association
