condition_id,period,statistic_family,eligible_tract_count,raw_p_lt_05_count,fdr_surviving_count,fdr_surviving_geography_ids,fdr_surviving_labels,weights_checksum,seed,permutations,denominator,multiplicity_rule,interpretation_boundary,results_authorized
hypertension,2022-2024 pooled,getis_ord_gi_star,77,31,21,02|03|04|05|06|07|08|13|14|16|21|22|44|45|46|47|48|49|69|71|77,02:low|03:low|04:low|05:low|06:low|07:low|08:low|13:low|14:low|16:low|21:low|22:low|44:high|45:high|46:high|47:high|48:high|49:high|69:high|71:high|77:low,f1a9b8ade1bf4ed1258b54f97dd78a8c710dc51cc03350053c99df59b2de7922,20260715,9999,77,benjamini_hochberg_within_condition_period_statistic,zero_survivors_does_not_prove_no_spatial_clustering,False
hypertension,2022-2024 pooled,local_moran,77,31,22,02|03|04|05|06|07|08|12|13|14|16|21|22|44|45|46|47|48|49|69|71|77,02:low-low|03:low-low|04:low-low|05:low-low|06:low-low|07:low-low|08:low-low|12:low-low|13:low-low|14:low-low|16:low-low|21:low-low|22:low-low|44:high-high|45:high-high|46:high-high|47:high-high|48:high-high|49:high-high|69:high-high|71:high-high|77:low-low,f1a9b8ade1bf4ed1258b54f97dd78a8c710dc51cc03350053c99df59b2de7922,20260715,9999,77,benjamini_hochberg_within_condition_period_statistic,zero_survivors_does_not_prove_no_spatial_clustering,False
