condition_id,agreement_eligible_n,resolution_eligible_n,spearman_r,weighted_kappa,gwet_ac1,vpc_icc,within_variance_share,area_label_auc,exact_quartile_agreement_count,exact_quartile_agreement_pct,quartile_disagree_count,quartile_disagree_pct,q4_moves_into_n,q4_moves_out_n,q4_movers_n,q4_transition_eligible_n,q4_movers_pct,estimand,unit,availability_status,availability_reason,geography,period,comparison_geography_type,comparability_gate_status,comparability_gate_reason,mean_annual_source_denominator,denominator_unit,mixed_extreme_community_area_n,uncertainty_status,uncertainty_aware_agreement_status,uncertainty_aware_agreement_reason,sensitivity_status,annual_sensitivity_status,noncrossing_sensitivity_status,source_artifacts,source_checksums,source_artifact,source_checksum,field_role,results_authorized,manuscript_import_allowed
hypertension,722,722,0.879646456483,0.839512758958,0.530934394299,0.804926747951,0.195073252049,0.939135802469,467,64.6814404432,255,35.3185595568,32,44,76,722,10.5263157895,Cross-source rank alignment and direct tract/community classification difference,condition-specific eligible census tracts,complete_metric_availability,,Chicago census tract linked to direct community-area CHM value,CHM 2022-2024 denominator-pooled proportion for descriptive ranks; source-specific comparator period retained,chicago_community_area,cross_frame_only_no_literal_aggregation,Direct tract and direct community-area CHM values are linked for classification comparison; tract disease values are never aggregated.,33591.6666667,mean annual CHM condition-record denominators (repeated geography-period units),,metric-specific 95% community-area cluster-bootstrap intervals in eTable 7; joint source-uncertainty agreement not run,not_run,Compatible PLACES intervals and denominator uncertainty were not available,annual and noncrossing analyses reported in supplement,reported_separately,reported_separately,direct_chm_tract_frame|00_master_analytic_dataset.parquet,373f0bfff77c0059b81831a1365650533f2eb8a9a12be665691e28d53f549916,direct_chm_tract_frame|00_master_analytic_dataset.parquet,373f0bfff77c0059b81831a1365650533f2eb8a9a12be665691e28d53f549916,derived,False,False
diabetes,,,,,,,,,,,,,,,,,,Cross-source rank alignment and direct tract/community classification difference,condition-specific eligible census tracts,partial_metric_availability,combined_components_not_primary_places_comparator_pending_phenotype_and_period_mapping|spearman_r:not_available|weighted_kappa:not_available|gwet_ac1:not_available|vpc_icc:not_available|within_variance_share:not_available|area_label_auc:not_available|exact_quartile_agreement_count:not_available|exact_quartile_agreement_pct:not_available|quartile_disagree_count:not_available|quartile_disagree_pct:not_available|q4_moves_into_n:not_available|q4_moves_out_n:not_available|q4_movers_n:not_available|q4_transition_eligible_n:not_available|q4_movers_pct:not_available,Chicago census tract linked to direct community-area CHM value,CHM 2022-2024 denominator-pooled proportion for descriptive ranks; source-specific comparator period retained,chicago_community_area,cross_frame_only_no_literal_aggregation,Direct tract and direct community-area CHM values are linked for classification comparison; tract disease values are never aggregated.,,mean annual CHM condition-record denominators (repeated geography-period units),,metric-specific 95% community-area cluster-bootstrap intervals in eTable 7; joint source-uncertainty agreement not run,not_run,Compatible PLACES intervals and denominator uncertainty were not available,annual and noncrossing analyses reported in supplement,reported_separately,reported_separately,direct_chm_tract_frame|00_master_analytic_dataset.parquet,373f0bfff77c0059b81831a1365650533f2eb8a9a12be665691e28d53f549916,direct_chm_tract_frame|00_master_analytic_dataset.parquet,373f0bfff77c0059b81831a1365650533f2eb8a9a12be665691e28d53f549916,derived,False,False
copd,411,411,0.738878006051,0.69395557974,0.334968079047,0.530756871539,0.469243128461,0.81297029703,205,49.8783454988,206,50.1216545012,70,31,101,411,24.5742092457,Cross-source rank alignment and direct tract/community classification difference,condition-specific eligible census tracts,complete_metric_availability,,Chicago census tract linked to direct community-area CHM value,CHM 2022-2024 denominator-pooled proportion for descriptive ranks; source-specific comparator period retained,chicago_community_area,cross_frame_only_no_literal_aggregation,Direct tract and direct community-area CHM values are linked for classification comparison; tract disease values are never aggregated.,28317,mean annual CHM condition-record denominators (repeated geography-period units),,metric-specific 95% community-area cluster-bootstrap intervals in eTable 7; joint source-uncertainty agreement not run,not_run,Compatible PLACES intervals and denominator uncertainty were not available,annual and noncrossing analyses reported in supplement,reported_separately,reported_separately,direct_chm_tract_frame|00_master_analytic_dataset.parquet,373f0bfff77c0059b81831a1365650533f2eb8a9a12be665691e28d53f549916,direct_chm_tract_frame|00_master_analytic_dataset.parquet,373f0bfff77c0059b81831a1365650533f2eb8a9a12be665691e28d53f549916,derived,False,False
