condition_id,comparison_geography_id,eligible_tract_count,mean_annual_source_denominator,comparison_rank,crossing_tract_count,comparison_geography_type,sensitivity_status,results_authorized
copd,08,17,17787,0.486842105263,9,chicago_community_area,all_eligible,False
copd,17,7,2411.66666667,0.578947368421,4,chicago_community_area,all_eligible,False
copd,23,7,3675.33333333,0.631578947368,4,chicago_community_area,all_eligible,False
copd,28,18,12400.6666667,0.684210526316,9,chicago_community_area,all_eligible,False
copd,30,6,2194.66666667,0.25,3,chicago_community_area,all_eligible,False
copd,61,10,3290.33333333,0.605263157895,7,chicago_community_area,all_eligible,False
hypertension,23,10,4110.33333333,0.454545454545,6,chicago_community_area,all_eligible,False
hypertension,28,19,12709.3333333,0.337662337662,9,chicago_community_area,all_eligible,False
copd,08,8,7669.33333333,0.486842105263,0,chicago_community_area,noncrossing_only,False
copd,23,3,1433,0.631578947368,0,chicago_community_area,noncrossing_only,False
copd,28,9,5742,0.684210526316,0,chicago_community_area,noncrossing_only,False
hypertension,28,10,6050.66666667,0.337662337662,0,chicago_community_area,noncrossing_only,False
copd,60608,12,6491,0.581395348837,3,zcta,all_eligible,False
copd,60609,14,4892,0.674418604651,0,zcta,all_eligible,False
copd,60610,9,8015,0.686046511628,2,zcta,all_eligible,False
copd,60623,12,4705.66666667,0.476744186047,3,zcta,all_eligible,False
copd,60634,10,3581.66666667,0.43023255814,2,zcta,all_eligible,False
copd,60643,10,3708,0.651162790698,5,zcta,all_eligible,False
copd,60651,11,6698,0.767441860465,6,zcta,all_eligible,False
hypertension,60612,20,7483,0.862676056338,10,zcta,all_eligible,False
hypertension,60639,18,6640,0.672535211268,3,zcta,all_eligible,False
hypertension,60651,13,7028.66666667,0.901408450704,7,zcta,all_eligible,False
copd,60608,9,4841.33333333,0.581395348837,0,zcta,noncrossing_only,False
copd,60609,14,4892,0.674418604651,0,zcta,noncrossing_only,False
copd,60610,7,6994,0.686046511628,0,zcta,noncrossing_only,False
copd,60615,7,1783.33333333,0.697674418605,0,zcta,noncrossing_only,False
copd,60623,9,3276.33333333,0.476744186047,0,zcta,noncrossing_only,False
copd,60634,8,2711.66666667,0.43023255814,0,zcta,noncrossing_only,False
hypertension,60639,15,5763.66666667,0.672535211268,0,zcta,noncrossing_only,False
