condition_id,comparison_geography_type,comparison_geography_label,tract_sample_n,comparison_geography_n,spearman_tract_value_vs_comparison_value,median_absolute_percentile_rank_gap,median_absolute_percentile_rank_gap_ci_low,median_absolute_percentile_rank_gap_ci_high,mean_absolute_percentile_rank_gap,exact_quartile_agreement_count,exact_quartile_agreement_pct,quartile_disagree_count,quartile_disagree_pct,quartile_disagree_pct_ci_low,quartile_disagree_pct_ci_high,q4_movement_pct,q4_movement_pct_ci_low,q4_movement_pct_ci_high,opposite_extreme_count,opposite_extreme_pct,tract_high_comparison_not_high_count,tract_low_comparison_not_low_count,assignment_rule,crossing_sensitivity,analysis_status,interpretation_label,comparability_gate_status,comparability_gate_reason,bootstrap_requested_replicates,bootstrap_replicates,bootstrap_seed,bootstrap_cluster_unit,bootstrap_rank_rule,bootstrap_interval_method,zip_zcta_sensitivity_status,results_authorized,noncrossing_only,source_artifact,source_checksum
copd,chicago_community_area,dominant_direct_community_area,411,74,0.781617892741,0.133948008708,0.107437718365,0.155367999118,0.159925038145,205,49.8783454988,206,50.1216545012,43.0883106075,56.5259705913,24.5742092457,17.6164245359,29.4667266778,2,0.486618004866,31,60,dominant_community_area_max_overlay_weight_gte_0.99,all_eligible,geographic_resolution_sensitivity,tract_resolution_not_area_prevalence,cross_frame_only_no_literal_aggregation,Direct tract and direct community-area CHM values are compared as linked cross-frame classifications; tract disease values are not aggregated.,1000,1000,20260715,community_area_id,recomputed_within_each_cluster_resample,percentile_2.5_97.5,direct_zcta_comparison,False,False,00_master_analytic_dataset.parquet,373f0bfff77c0059b81831a1365650533f2eb8a9a12be665691e28d53f549916
hypertension,chicago_community_area,dominant_direct_community_area,722,77,0.904882467601,0.085072130086,0.0715224298344,0.113390274578,0.110279118983,467,64.6814404432,255,35.3185595568,29.9709649377,43.5279957448,10.5263157895,6.54578519469,17.2520296383,0,0,44,7,dominant_community_area_max_overlay_weight_gte_0.99,all_eligible,geographic_resolution_sensitivity,tract_resolution_not_area_prevalence,cross_frame_only_no_literal_aggregation,Direct tract and direct community-area CHM values are compared as linked cross-frame classifications; tract disease values are not aggregated.,1000,1000,20260715,community_area_id,recomputed_within_each_cluster_resample,percentile_2.5_97.5,direct_zcta_comparison,False,False,00_master_analytic_dataset.parquet,373f0bfff77c0059b81831a1365650533f2eb8a9a12be665691e28d53f549916
copd,chicago_community_area,dominant_direct_community_area,144,46,0.789659691886,0.135416666667,0.0908891686855,0.155000034905,0.15763584308,71,49.3055555556,73,50.6944444444,38.0551786522,60,26.3888888889,12.6686787391,32.1760168303,0,0,12,19,dominant_community_area_max_overlay_weight_gte_0.99,noncrossing_only,geographic_resolution_sensitivity,tract_resolution_not_area_prevalence,cross_frame_only_no_literal_aggregation,Direct tract and direct community-area CHM values are compared as linked cross-frame classifications; tract disease values are not aggregated.,1000,1000,20260715,community_area_id,recomputed_within_each_cluster_resample,percentile_2.5_97.5,direct_zcta_comparison,False,True,00_master_analytic_dataset.parquet,373f0bfff77c0059b81831a1365650533f2eb8a9a12be665691e28d53f549916
hypertension,chicago_community_area,dominant_direct_community_area,245,55,0.909251162176,0.0846011131725,0.0636776395511,0.112488828376,0.112916587785,160,65.306122449,85,34.693877551,24.3216849662,44.1293287027,7.75510204082,3.7159034034,16.131508206,0,0,12,2,dominant_community_area_max_overlay_weight_gte_0.99,noncrossing_only,geographic_resolution_sensitivity,tract_resolution_not_area_prevalence,cross_frame_only_no_literal_aggregation,Direct tract and direct community-area CHM values are compared as linked cross-frame classifications; tract disease values are not aggregated.,1000,1000,20260715,community_area_id,recomputed_within_each_cluster_resample,percentile_2.5_97.5,direct_zcta_comparison,False,True,00_master_analytic_dataset.parquet,373f0bfff77c0059b81831a1365650533f2eb8a9a12be665691e28d53f549916
