geography_id,cooks_distance,leverage,externally_studentized_residual,cooks_threshold,leverage_threshold,studentized_residual_threshold,cooks_flag,leverage_flag,studentized_residual_flag,any_influence_flag,leave_one_out_estimate,leave_one_out_sign_change,leave_one_out_magnitude_change_ratio,leave_one_out_magnitude_change_gt_30pct,row_type,model_id,principal_sensitivity_estimate,areas_retained_in_principal_fit,design_parameters,flagged_areas,leave_one_out_min,leave_one_out_max,any_sign_change,any_magnitude_change_gt_30pct,magnitude_change_at_exact_30pct_is_fragile,fragile,exclude_all_flagged_estimate,exclude_all_flagged_n,exclude_all_flagged_status,exclude_all_flagged_ci_low,exclude_all_flagged_ci_high,exclude_all_flagged_direction_stable,exclude_all_flagged_absolute_percentage_change,exclude_all_flagged_interval_overlap,exclude_all_flagged_threshold_crossed,analysis_status
01,0.00520086223469,0.0179120107348,-0.752976264632,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.2968272805,False,0.00480056366549,False,area,,,,,,,,,,,,,,,,,,,,,
02,3.90883472047e-05,0.0240746195844,0.0559141994097,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.26333440449,False,0.000543978783158,False,area,,,,,,,,,,,,,,,,,,,,,
03,0.00116562614631,0.0150688108286,-0.388106806286,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.27658790369,False,0.00157091541311,False,area,,,,,,,,,,,,,,,,,,,,,
04,0.0124713945579,0.0407097102386,-0.764496860641,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.34113386111,False,0.0118706761502,False,area,,,,,,,,,,,,,,,,,,,,,
05,0.00403058246932,0.0428306550586,0.422076122212,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.22395564715,False,0.00682774611752,False,area,,,,,,,,,,,,,,,,,,,,,
06,0.00198801118036,0.0348427845877,0.329864828619,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.23826171673,False,0.00454489061949,False,area,,,,,,,,,,,,,,,,,,,,,
07,0.00647871335828,0.0261976606899,0.691555549154,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.2207620236,False,0.00733736065737,False,area,,,,,,,,,,,,,,,,,,,,,
08,0.0353443392116,0.013449111122,2.34535601938,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.24434303021,False,0.00357448013476,False,area,,,,,,,,,,,,,,,,,,,,,
09,5.96404037936e-05,0.0233371986328,-0.0701767847559,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.27087327216,False,0.000659017289295,False,area,,,,,,,,,,,,,,,,,,,,,
10,6.8911175401e-05,0.0345851236432,-0.0616068514011,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.27203412603,False,0.000844257659091,False,area,,,,,,,,,,,,,,,,,,,,,
11,0.00315424178355,0.014237843239,0.658350986746,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.25421887226,False,0.00199856718384,False,area,,,,,,,,,,,,,,,,,,,,,
12,0.00105884078415,0.0292716626856,0.263334180162,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.24719440723,False,0.00311947873367,False,area,,,,,,,,,,,,,,,,,,,,,
13,0.00144363437309,0.0236731595979,0.34301126151,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.24623910789,False,0.00327191825142,False,area,,,,,,,,,,,,,,,,,,,,,
14,0.0104195448056,0.0400146750842,-0.704660008859,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.33445690958,False,0.0108052182046,False,area,,,,,,,,,,,,,,,,,,,,,
15,0.000130031214014,0.0210207364007,-0.109315741142,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.27239045243,False,0.000901117559939,False,area,,,,,,,,,,,,,,,,,,,,,
16,0.000307303622069,0.0319914976676,-0.135463186044,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.27763436121,False,0.00173790127066,False,area,,,,,,,,,,,,,,,,,,,,,
17,0.0100922329655,0.0137090892338,1.20880437772,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.28305418965,False,0.00260275692416,False,area,,,,,,,,,,,,,,,,,,,,,
18,0.00971576413077,0.0131978765526,1.2091156996,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.27113628138,False,0.000700986330698,False,area,,,,,,,,,,,,,,,,,,,,,
19,1.54855784963e-08,0.0203070998895,0.00121407444344,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.26668359353,False,9.54026604969e-06,False,area,,,,,,,,,,,,,,,,,,,,,
20,0.0056128378089,0.0350373250916,-0.553414743888,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.31468111748,False,0.00764954532962,False,area,,,,,,,,,,,,,,,,,,,,,
