geography_id,cooks_distance,leverage,externally_studentized_residual,cooks_threshold,leverage_threshold,studentized_residual_threshold,cooks_flag,leverage_flag,studentized_residual_flag,any_influence_flag,leave_one_out_estimate,leave_one_out_sign_change,leave_one_out_magnitude_change_ratio,leave_one_out_magnitude_change_gt_30pct,row_type,model_id,principal_sensitivity_estimate,areas_retained_in_principal_fit,design_parameters,flagged_areas,leave_one_out_min,leave_one_out_max,any_sign_change,any_magnitude_change_gt_30pct,magnitude_change_at_exact_30pct_is_fragile,fragile,exclude_all_flagged_estimate,exclude_all_flagged_n,exclude_all_flagged_status,exclude_all_flagged_ci_low,exclude_all_flagged_ci_high,exclude_all_flagged_direction_stable,exclude_all_flagged_absolute_percentage_change,exclude_all_flagged_interval_overlap,exclude_all_flagged_threshold_crossed,analysis_status
21,0.00707594276033,0.0428646852901,-0.559524153562,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.32344610825,False,0.00904819694694,False,area,,,,,,,,,,,,,,,,,,,,,
22,0.0103851477272,0.0456278054607,-0.656582942647,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.33635245275,False,0.0111076947941,False,area,,,,,,,,,,,,,,,,,,,,,
23,0.000408039539459,0.0140878120625,-0.237452469557,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.26254109716,False,0.000670568828775,False,area,,,,,,,,,,,,,,,,,,,,,
24,0.000815057265134,0.0314421882874,-0.22264268084,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.28437168368,False,0.00281299275841,False,area,,,,,,,,,,,,,,,,,,,,,
25,0.00213592253766,0.0322994873835,-0.355632855208,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.23793507388,False,0.00459701384002,False,area,,,,,,,,,,,,,,,,,,,,,
26,0.0376276795392,0.0588481022344,-1.09859768733,0.0526315789474,0.0526315789474,3,False,True,False,True,-6.12834442665,False,0.0220846690044,False,area,,,,,,,,,,,,,,,,,,,,,
27,0.0107529517095,0.0379993515309,-0.735576004828,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.19885459456,False,0.0108331841993,False,area,,,,,,,,,,,,,,,,,,,,,
28,0.00785730637818,0.0171198377975,0.949208441127,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.30127165549,False,0.00550976375925,False,area,,,,,,,,,,,,,,,,,,,,,
29,0.0263296372565,0.0411750193152,-1.1090835519,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.158362901,False,0.0172945455653,False,area,,,,,,,,,,,,,,,,,,,,,
30,1.62991135808e-05,0.0232129632558,0.0367858874722,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.2645918719,False,0.000343321546721,False,area,,,,,,,,,,,,,,,,,,,,,
31,0.010814278148,0.0152580896135,1.18469269196,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.23550329272,False,0.00498505927507,False,area,,,,,,,,,,,,,,,,,,,,,
32,0.0647844877762,0.0162337100195,2.94367836973,0.0526315789474,0.0526315789474,3,True,False,False,True,-6.1770334534,False,0.0143152385674,False,area,,,,,,,,,,,,,,,,,,,,,
33,0.00103709450425,0.0169634397542,0.344628042403,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.25439259978,False,0.00197084504623,False,area,,,,,,,,,,,,,,,,,,,,,
34,0.219276822731,0.035454806126,3.74592012218,0.0526315789474,0.0526315789474,3,True,False,True,True,-6.56743056157,False,0.0479814097076,False,area,,,,,,,,,,,,,,,,,,,,,
35,0.00944787749,0.0370090115218,0.698767443915,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.32992656228,False,0.0100822992939,False,area,,,,,,,,,,,,,,,,,,,,,
36,0.00678397556234,0.019243811494,-0.829805564364,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.22923801916,False,0.00598482473176,False,area,,,,,,,,,,,,,,,,,,,,,
37,0.107414256567,0.143619492095,1.13399229136,0.0526315789474,0.0526315789474,3,True,True,False,True,-6.51967281215,False,0.0403605855364,False,area,,,,,,,,,,,,,,,,,,,,,
38,0.00284578274661,0.0210459917424,-0.511960137027,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.24029883806,False,0.00421982204581,False,area,,,,,,,,,,,,,,,,,,,,,
39,0.000779041061082,0.0131629823741,0.339726441742,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.26629906097,False,7.09010939948e-05,False,area,,,,,,,,,,,,,,,,,,,,,
40,5.67800628877e-06,0.0343982920776,-0.0177333183565,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.26522722156,False,0.00024193720284,False,area,,,,,,,,,,,,,,,,,,,,,
41,0.0160699147131,0.013265942952,1.56109441555,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.25747976967,False,0.00147821758347,False,area,,,,,,,,,,,,,,,,,,,,,
42,0.000361657631948,0.0216956303701,-0.179413853909,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.25708358771,False,0.0015414373365,False,area,,,,,,,,,,,,,,,,,,,,,
43,0.0143868536302,0.0260107862737,-1.038553194,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.19847173817,False,0.0108942775573,False,area,,,,,,,,,,,,,,,,,,,,,
44,0.00658013870136,0.0259313996949,-0.700672968775,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.22064418532,False,0.00735616440802,False,area,,,,,,,,,,,,,,,,,,,,,
45,0.00192134008203,0.0213586343964,-0.417258325667,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.24475082699,False,0.00350940697708,False,area,,,,,,,,,,,,,,,,,,,,,
46,0.0141132198461,0.0144395718293,-1.39690335452,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.2380845167,False,0.0045731668727,False,area,,,,,,,,,,,,,,,,,,,,,
47,0.0120091878482,0.0379100156609,-0.778653643309,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.19504327368,False,0.0114413662572,False,area,,,,,,,,,,,,,,,,,,,,,
48,0.0038721005917,0.0138299580082,-0.740842453728,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.25563625341,False,0.00177239210883,False,area,,,,,,,,,,,,,,,,,,,,,
49,0.0213771697428,0.0205377928074,-1.43820187067,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.19577626441,False,0.0113244010829,False,area,,,,,,,,,,,,,,,,,,,,,
50,0.00369635164753,0.0133143132924,-0.737888677358,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.26140751112,False,0.000851458003364,False,area,,,,,,,,,,,,,,,,,,,,,
51,0.013168670524,0.0134706981284,-1.39774041132,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.25258396223,False,0.00225945388941,False,area,,,,,,,,,,,,,,,,,,,,,
52,0.00679563361413,0.0206121490839,-0.801668100478,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.30688447325,False,0.00640541520288,False,area,,,,,,,,,,,,,,,,,,,,,
53,0.01798388241,0.0277016806615,-1.12560357912,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.18806395851,False,0.012555073129,False,area,,,,,,,,,,,,,,,,,,,,,
54,0.0328045468864,0.0502287666172,1.11566069554,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.39273478462,False,0.0201047652753,False,area,,,,,,,,,,,,,,,,,,,,,
55,0.0184158426624,0.0139993922929,1.62850549722,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.29368361548,False,0.00429892113365,False,area,,,,,,,,,,,,,,,,,,,,,
56,9.81197764474e-06,0.0149706357082,0.0356900453192,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.26586078834,False,0.000140837358603,False,area,,,,,,,,,,,,,,,,,,,,,
57,0.029966315388,0.0389857698221,-1.21946167993,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.38083183721,False,0.0182053820239,False,area,,,,,,,,,,,,,,,,,,,,,
58,0.00297115933691,0.0182151660006,0.563322410383,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.24348720517,False,0.0037110462877,False,area,,,,,,,,,,,,,,,,,,,,,
59,0.00120068492838,0.0133818295263,0.418419642369,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.26311384216,False,0.000579174469638,False,area,,,,,,,,,,,,,,,,,,,,,
60,0.0344915497142,0.0167824033034,2.05357304364,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.3366289634,False,0.0111518182949,False,area,,,,,,,,,,,,,,,,,,,,,
61,0.00069342292509,0.0138902794135,-0.311857288716,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.26184731708,False,0.000781277061617,False,area,,,,,,,,,,,,,,,,,,,,,
62,0.0137756905685,0.0359166256484,-0.858435824336,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.34239473281,False,0.012071876619,False,area,,,,,,,,,,,,,,,,,,,,,
63,0.00141924264641,0.0296485478301,0.302917586556,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.24399349031,False,0.00363025709578,False,area,,,,,,,,,,,,,,,,,,,,,
64,0.000686916820232,0.0141111304317,0.307912672765,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.26122762358,False,0.000880163111277,False,area,,,,,,,,,,,,,,,,,,,,,
65,4.29224976819e-06,0.0216870074465,-0.0195453428829,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.2677954105,False,0.000167875163061,False,area,,,,,,,,,,,,,,,,,,,,,
66,0.00591459179845,0.0144002773991,-0.898621262818,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.28503442009,False,0.00291874727498,False,area,,,,,,,,,,,,,,,,,,,,,
67,0.028575937648,0.0192850931993,-1.72751512232,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.18959015203,False,0.0123115345923,False,area,,,,,,,,,,,,,,,,,,,,,
68,0.0345937319752,0.044279953801,-1.22616206112,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.14048417711,False,0.020147498496,False,area,,,,,,,,,,,,,,,,,,,,,
69,0.00395969385217,0.0337237719683,-0.473849935452,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.2269537312,False,0.00634933430636,False,area,,,,,,,,,,,,,,,,,,,,,
70,0.000242660468473,0.0140315307515,-0.183459060602,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.26989073693,False,0.000502231671252,False,area,,,,,,,,,,,,,,,,,,,,,
71,0.0091478712423,0.0240986059568,-0.859236448828,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.21456139537,False,0.00832681049662,False,area,,,,,,,,,,,,,,,,,,,,,
72,0.00254658096968,0.0156369316041,0.563616994875,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.25047372948,False,0.00259618903444,False,area,,,,,,,,,,,,,,,,,,,,,
73,0.0106934109319,0.0155657452617,-1.16582364254,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.23381110871,False,0.00525508533268,False,area,,,,,,,,,,,,,,,,,,,,,
74,0.0200884027125,0.0180202686066,1.49185067885,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.32635761839,False,0.00951279394162,False,area,,,,,,,,,,,,,,,,,,,,,
75,0.00333852530523,0.0215512661486,0.54797649277,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.29594069489,False,0.00465908897064,False,area,,,,,,,,,,,,,,,,,,,,,
77,0.00279979990606,0.0149748981031,0.604295443019,0.0526315789474,0.0526315789474,3,False,False,False,False,-6.25181910715,False,0.00238150373764,False,area,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,model_summary,C2,-6.26674337993,76,2,4,-6.56743056157,-6.12834442665,False,False,False,False,-6.67172996111,72,supported_sensitivity_not_primary,-7.79035099717,-5.55310892506,True,6.4624727172,True,False,supported_sensitivity_not_primary
