analysis_id,analysis_name,condition_id,period,statistic_family,geography_id,statistic,p_raw,p_adjusted,fdr_family,cluster_label,raw_significant_05,significant_fdr_05,weights_checksum,seed,permutations,permutation_method,denominator,diagnostic_status,sensitivity_status,source_artifact,results_authorized
A7,Local spatial structure,hypertension,2022-2024 pooled,local_moran,01,1.06793027922,0.2688,0.435285714286,hypertension|2022-2024 pooled|local_moran,low-low,False,False,f1a9b8ade1bf4ed1258b54f97dd78a8c710dc51cc03350053c99df59b2de7922,20260715,9999,conditional_focal_value_fixed_two_sided_centered,77,eligible_local_cluster_diagnostic,queen_weights_primary,direct_chm_spatial_frame,False
A7,Local spatial structure,hypertension,2022-2024 pooled,local_moran,02,0.881692482218,0.0108,0.0396,hypertension|2022-2024 pooled|local_moran,low-low,True,True,f1a9b8ade1bf4ed1258b54f97dd78a8c710dc51cc03350053c99df59b2de7922,20260715,9999,conditional_focal_value_fixed_two_sided_centered,77,eligible_local_cluster_diagnostic,queen_weights_primary,direct_chm_spatial_frame,False
A7,Local spatial structure,hypertension,2022-2024 pooled,local_moran,03,1.99723810672,0.0002,0.001925,hypertension|2022-2024 pooled|local_moran,low-low,True,True,f1a9b8ade1bf4ed1258b54f97dd78a8c710dc51cc03350053c99df59b2de7922,20260715,9999,conditional_focal_value_fixed_two_sided_centered,77,eligible_local_cluster_diagnostic,queen_weights_primary,direct_chm_spatial_frame,False
A7,Local spatial structure,hypertension,2022-2024 pooled,local_moran,04,2.4295656517,0.0002,0.001925,hypertension|2022-2024 pooled|local_moran,low-low,True,True,f1a9b8ade1bf4ed1258b54f97dd78a8c710dc51cc03350053c99df59b2de7922,20260715,9999,conditional_focal_value_fixed_two_sided_centered,77,eligible_local_cluster_diagnostic,queen_weights_primary,direct_chm_spatial_frame,False
A7,Local spatial structure,hypertension,2022-2024 pooled,local_moran,05,3.4258319873,0.0001,0.001925,hypertension|2022-2024 pooled|local_moran,low-low,True,True,f1a9b8ade1bf4ed1258b54f97dd78a8c710dc51cc03350053c99df59b2de7922,20260715,9999,conditional_focal_value_fixed_two_sided_centered,77,eligible_local_cluster_diagnostic,queen_weights_primary,direct_chm_spatial_frame,False
A7,Local spatial structure,hypertension,2022-2024 pooled,local_moran,06,3.40953944507,0.0001,0.001925,hypertension|2022-2024 pooled|local_moran,low-low,True,True,f1a9b8ade1bf4ed1258b54f97dd78a8c710dc51cc03350053c99df59b2de7922,20260715,9999,conditional_focal_value_fixed_two_sided_centered,77,eligible_local_cluster_diagnostic,queen_weights_primary,direct_chm_spatial_frame,False
A7,Local spatial structure,hypertension,2022-2024 pooled,local_moran,07,3.17971888482,0.0001,0.001925,hypertension|2022-2024 pooled|local_moran,low-low,True,True,f1a9b8ade1bf4ed1258b54f97dd78a8c710dc51cc03350053c99df59b2de7922,20260715,9999,conditional_focal_value_fixed_two_sided_centered,77,eligible_local_cluster_diagnostic,queen_weights_primary,direct_chm_spatial_frame,False
A7,Local spatial structure,hypertension,2022-2024 pooled,local_moran,08,1.04605447893,0.0056,0.0239555555556,hypertension|2022-2024 pooled|local_moran,low-low,True,True,f1a9b8ade1bf4ed1258b54f97dd78a8c710dc51cc03350053c99df59b2de7922,20260715,9999,conditional_focal_value_fixed_two_sided_centered,77,eligible_local_cluster_diagnostic,queen_weights_primary,direct_chm_spatial_frame,False
A7,Local spatial structure,hypertension,2022-2024 pooled,local_moran,09,0.58916861332,0.468,0.6006,hypertension|2022-2024 pooled|local_moran,low-low,False,False,f1a9b8ade1bf4ed1258b54f97dd78a8c710dc51cc03350053c99df59b2de7922,20260715,9999,conditional_focal_value_fixed_two_sided_centered,77,eligible_local_cluster_diagnostic,queen_weights_primary,direct_chm_spatial_frame,False
A7,Local spatial structure,hypertension,2022-2024 pooled,local_moran,10,0.377876517855,0.3444,0.530376,hypertension|2022-2024 pooled|local_moran,low-low,False,False,f1a9b8ade1bf4ed1258b54f97dd78a8c710dc51cc03350053c99df59b2de7922,20260715,9999,conditional_focal_value_fixed_two_sided_centered,77,eligible_local_cluster_diagnostic,queen_weights_primary,direct_chm_spatial_frame,False
